pair,pair_code,term_group,term,coef_pct_points,std_err_pct_points,p_value,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var
2009-2010,0910,age,age_t,0.9245453741847025,0.9453249625044347,0.32806513646899793,-0.9282575060106664,2.7773482543800716,689,0.1630276505269368,earnwt_t
2009-2010,0910,earnings,np.log(earnwke_t),3.5411633699575362,2.4781292170991405,0.1530138928404431,-1.3158806445932203,8.398207384508293,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.33],-37.40589261819014,50.50673273085769,0.4589287266194859,-136.39726974746156,61.585484511081276,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.34],8.534618219300949,29.85213553651037,0.7749574675877133,-49.97449229386767,67.04372873246956,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.35],3.389171855512718,28.709789565493875,0.9060285594755101,-52.88098169657912,59.659325407604555,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.36],-21.478755849871153,42.63859260012705,0.6144442405066319,-105.04886169759622,62.091349997853904,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.37],4.321983108058089,30.39822310394178,0.8869387709636603,-55.25743936968117,63.901405585797356,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.39],-10.930043092103116,25.84412217975174,0.6723523050229807,-61.58359177646931,39.72350559226309,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.40],-20.752920951247674,26.3062366273682,0.4301719916332488,-72.31219730967777,30.806355407182416,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.41],-14.693345792899537,27.217229509812164,0.5892973286308045,-68.03813539109213,38.65144380529305,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.42],-18.375254307326127,26.71872729582065,0.4916232019354314,-70.74299751988187,33.992488905229614,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.43],-17.20372009551215,26.54300375534891,0.5168910510153966,-69.22705149750742,34.81961130648311,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.44],-15.49284915974845,26.78788103958342,0.5630258742030729,-67.99613121947534,37.01043289997843,689,0.1630276505269368,earnwt_t
