pair,pair_code,dv,term,term_group,coef,coef_pct_points,std_err,std_err_pct_points,p_value,ci_low,ci_high,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var,controls,file
2008-2009,0809,stayed_state_local,C(grade92_t)[T.42],education,-0.062439338231220054,-6.243933823122005,0.2808047062752984,28.08047062752984,0.8240347461628671,-0.6128064492201535,0.4879277727577134,-61.28064492201535,48.792777275771336,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.43],education,-0.19011827934903314,-19.011827934903312,0.2732572081349981,27.32572081349981,0.4865863769392902,-0.7256925658095948,0.3454560071115286,-72.56925658095949,34.54560071115286,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.44],education,-0.1828678448613269,-18.28678448613269,0.27497610901254693,27.497610901254692,0.5060301814531847,-0.7218111151348786,0.3560754254122248,-72.18111151348786,35.60754254122248,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.45],education,-0.04493362826890468,-4.493362826890468,0.2840847254950507,28.40847254950507,0.8743229890282238,-0.6017294587971518,0.5118622022593424,-60.17294587971518,51.18622022593424,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.46],education,-0.052602816841074373,-5.260281684107437,0.3051637817387117,30.51637817387117,0.8631421842170428,-0.6507128384349912,0.5455072047528424,-65.07128384349912,54.550720475284244,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(docc00_t)[T.10.0],occupation,0.05427546928979336,5.4275469289793365,0.1040165825449109,10.40165825449109,0.6018121568792005,-0.14959328629316965,0.2581442248727564,-14.959328629316964,25.81442248727564,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(docc00_t)[T.11.0],occupation,-0.023043083037591297,-2.3043083037591297,0.22733065727776994,22.733065727776992,0.9192617285499649,-0.4686029838838387,0.42251681780865613,-46.86029838838387,42.25168178086561,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(docc00_t)[T.12.0],occupation,0.052910826787823044,5.291082678782304,0.0954031052581003,9.54031052581003,0.5791663914717746,-0.13407582353133737,0.23989747710698348,-13.407582353133737,23.989747710698346,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(docc00_t)[T.13.0],occupation,0.10468192750316449,10.46819275031645,0.12974349714285685,12.974349714285685,0.41976007267115245,-0.14961065412511035,0.35897450913143936,-14.961065412511035,35.897450913143935,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(docc00_t)[T.14.0],occupation,0.015343901391941445,1.5343901391941444,0.12181089663220812,12.181089663220812,0.8997596830997151,-0.22340106893171782,0.2540888717156007,-22.340106893171782,25.408887171560067,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
